policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,tasks,windows,requested_windows,wall_s,decisions_per_s
Heuristic-TVD,4122.740926611034,136113.36557402648,260,523.5129445154864,143751290598.0329,39371518286.83546,72.61136361069009,1.0414694484428917,10.952756484189544,0,0,165,11,84,0,63.46153846153846,4.230769230769231,32.30769230769231,0.0,13886.634425973361,13886.634425973361,0.0,0.04189307622324962,,,,,4,260,256,256,0.44206109998049214,588.1539905037417
Heuristic-TVD,3954.278569001862,136470.98961061332,260,524.8884215792821,145966253614.7567,43173677724.112404,70.42215124732934,0.9832486245364028,11.496353607380263,0,0,161,21,78,0,61.92307692307693,8.076923076923077,30.0,0.0,13529.010389386685,13529.010389386685,0.0,0.04046884681044433,,,,,5,260,256,256,0.44387540000025183,585.749964967314
Heuristic-TVD,4107.746553781632,139130.98913562656,260,535.119188983179,136511684238.74997,40187054506.297005,70.56145433235407,1.1445659766542424,10.97835304039648,0,0,165,13,82,0,63.46153846153846,5.0,31.538461538461537,0.0,10869.010864373324,10869.010864373324,0.0,0.04146654033460296,,,,,6,260,256,256,0.4404981999832671,590.2407773967667
Heuristic-TVD,4134.626978523059,134184.21834031993,260,516.0931474627689,139247165035.33093,42529348528.147316,69.4576557322683,1.0492508202979782,10.551365493837155,0,0,164,17,79,0,63.07692307692307,6.538461538461539,30.384615384615383,0.0,15815.781659680028,15815.781659680028,0.0,0.04198538506618486,,,,,7,260,256,256,0.4448345999990124,584.4869081689626
Heuristic-TVD,4009.6259998035503,133628.135884,260,513.9543687846153,147675122448.8456,50724779053.51297,65.65110073222797,1.1445659766542424,11.688999473931958,0,0,151,15,94,0,58.07692307692308,5.769230769230769,36.15384615384615,0.0,16371.864115999926,16371.864115999926,0.0,0.04176192372911968,,,,,8,260,256,256,0.4472111999930348,581.3807883256266
Heuristic-TVD,4165.320704083221,137212.79205173312,260,527.7415078912812,145047080871.27374,39208523955.803474,72.96841568938555,1.0185355099600808,10.477106153541527,0,0,169,16,75,0,65.0,6.153846153846154,28.846153846153843,0.0,12787.207948266609,12787.207948266609,0.0,0.04117577090465392,,,,,9,260,256,256,0.43265600001905113,600.9393143480072
Heuristic-TVD,4223.440777589607,131777.93967589334,260,506.8382295226667,141896346105.7374,49276294339.926674,65.27303507645837,0.7175219706068143,2.3650436357724294,0,0,160,7,93,0,61.53846153846154,2.6923076923076925,35.76923076923077,0.0,18222.06032410665,18222.06032410665,0.0,0.11585538562100667,,,,,0,260,1024,1024,0.4626597000169568,561.9681160699124
Heuristic-TVD,4283.974439436886,129513.34525157335,260,498.1282509675898,138183152908.2682,42844932122.708336,68.99409861406866,0.6589092906537795,1.9662642167820492,0,0,163,5,92,0,62.69230769230769,1.9230769230769231,35.38461538461539,0.0,20486.65474842663,20486.65474842663,0.0,0.10870999976759776,,,,,1,260,1024,1024,0.4612046999973245,563.7410026426624
Heuristic-TVD,4175.207250724035,132791.36594133326,260,510.7360228512818,143551818802.25815,47270554659.109695,67.07073790250988,0.6502542858624414,2.357150514773069,0,0,163,8,89,0,62.69230769230769,3.076923076923077,34.23076923076923,0.0,17208.634058666677,17208.634058666677,0.0,0.11662846070696385,,,,,2,260,1024,1024,0.46223319999990053,562.4866409423987
Heuristic-TVD,4229.549449668256,133250.8492303999,260,512.5032662707689,145714942829.99643,44951028525.71821,69.15139404874768,0.6713495368931338,2.6372059770264333,0,0,163,10,87,0,62.69230769230769,3.8461538461538463,33.46153846153846,0.0,16749.150769600034,16749.150769600034,0.0,0.11555000002352664,,,,,3,260,1024,1024,0.45728349999990314,568.5750743249102
