policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,contact_model,window_count,capacity_gbit,normalized_value
All-Downlink,2624.3317650948316,0.0,259,0.0,145966253614.7567,142154292336.35153,2.611536011923654,32.73609921005294,77.76358537846562,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0004000000234764929,,,,,5,fixed-window,16,296.4693387431484,0.6665479805185078
All-On-Board,2454.6520370557223,149928.29939221338,153,979.9235254393031,145966253614.7567,0.0,100.0,1.1894509169151812,1280.093058700196,0,107,153,0,0,107,58.84615384615385,0.0,0.0,41.15384615384615,71.70060778667579,71.70060778667579,0.0,0.0003346154699102044,,,,,5,fixed-window,16,296.4693387431484,0.6234514172090625
Fixed-Threshold,3160.25763127706,97302.33349008001,260,374.23974419261543,145966253614.7567,53835526053.87235,63.11782708628088,9.936737857560608,71.94880900971727,0,0,105,89,66,0,40.38461538461539,34.23076923076923,25.384615384615383,0.0,52697.66650991997,52697.66650991997,0.0,0.0010350006050430238,,,,,5,fixed-window,16,296.4693387431484,0.8026665568976984
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.32671158912814,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.38461538461538464,76.92307692307692,0.0,94275.05498682667,94275.05498682667,0.0,0.009237307956657158,,,,,5,fixed-window,16,296.4693387431484,0.948997807285672
Priority-Aware,3721.6376738607496,81787.42338042668,260,314.5670130016411,145966253614.7567,97435093163.56842,33.24820583480533,16.058096002124003,74.03864247899895,0,0,85,9,166,0,32.69230769230769,3.4615384615384617,63.84615384615385,0.0,68212.57661957334,68212.57661957334,0.0,0.0013011543510051875,,,,,5,fixed-window,16,296.4693387431484,0.9452501809137079
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.013501155123007126,,,,,5,fixed-window,16,296.4693387431484,1.0
All-Downlink,1900.5227881226142,0.0,259,0.0,145966253614.7567,143503241658.7327,1.6873845118506314,70.53013633163562,202.857381725444,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002769222751689645,,,,,5,tle-derived,25,188.74183308892847,0.48688973135545116
All-On-Board,2454.6520370557223,149928.29939221338,153,979.9235254393031,145966253614.7567,0.0,100.0,1.1894509169151812,1280.093058700196,0,107,153,0,0,107,58.84615384615385,0.0,0.0,41.15384615384615,71.70060778667579,71.70060778667579,0.0,0.0003365383376009189,,,,,5,tle-derived,25,188.74183308892847,0.6288505869870504
Fixed-Threshold,3145.693002313736,97302.33349008001,260,374.23974419261543,145966253614.7567,54267189837.03432,62.82209860625751,10.122223768458873,80.9398358227784,0,0,105,89,66,0,40.38461538461539,34.23076923076923,25.384615384615383,0.0,52697.66650991997,52697.66650991997,0.0,0.000995384694900937,,,,,5,tle-derived,25,188.74183308892847,0.8058864804963571
Deadline-Energy,3670.1513114283534,72900.16571664001,260,280.38525275630775,145966253614.7567,106428106618.06863,27.087183521911605,23.510053271355595,105.98363565617304,0,0,78,1,181,0,30.0,0.38461538461538464,69.61538461538461,0.0,77099.83428336002,77099.83428336002,0.0,0.010807691992690356,,,,,5,tle-derived,25,188.74183308892847,0.9402460192652634
Priority-Aware,3569.2324633042995,81787.42338042668,260,314.5670130016411,145966253614.7567,98784042485.94958,32.32405433473231,32.38600346033199,117.03683784361046,0,0,85,9,166,0,32.69230769230769,3.4615384615384617,63.84615384615385,0.0,68212.57661957334,68212.57661957334,0.0,0.0013269228824915795,,,,,5,tle-derived,25,188.74183308892847,0.9143918957793986
Heuristic-TVD,3903.394682060255,149959.95577792,259,578.9959682545174,145966253614.7567,54598254364.50447,62.59528965605734,1.0218073941260324,67.38084744620967,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,40.04422207999659,40.04422207999659,0.0,0.014575384221433733,,,,,5,tle-derived,25,188.74183308892847,1.0
All-Downlink,2656.6870243738504,0.0,257,0.0,136511684238.74997,125544697380.47523,8.033734928575198,35.892371621477345,112.48918967135168,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002792312163644685,,,,,6,fixed-window,16,296.4693387431484,0.6716396615968278
All-On-Board,2566.6595851616535,149652.1489362133,150,997.6809929080888,136511684238.74997,0.0,100.0,1.2645403243952993,1209.4404617080772,0,110,150,0,0,110,57.69230769230769,0.0,0.0,42.30769230769231,347.8510637866695,347.8510637866695,0.0,0.0003473074264967671,,,,,6,fixed-window,16,296.4693387431484,0.648879736075996
Fixed-Threshold,3188.616449032397,99648.48075525332,258,386.2344215319896,136511684238.74997,44829547598.12704,67.16065159688227,3.3926807072806695,75.48668826362353,0,0,105,89,66,0,40.38461538461539,34.23076923076923,25.384615384615383,0.0,50351.51924474671,50351.51924474671,0.0,0.0010707696604255873,,,,,6,fixed-window,16,296.4693387431484,0.8061172630204523
Deadline-Energy,3774.4549894033107,59623.26823472,260,229.32026244123077,136511684238.74997,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.38461538461538464,74.23076923076923,0.0,90376.73176528004,90376.73176528004,0.0,0.009806154188341819,,,,,6,fixed-window,16,296.4693387431484,0.954223681049816
Priority-Aware,3607.574591128856,72969.55644367999,260,280.65214016799996,136511684238.74997,79932607445.38664,41.446325352202265,21.359685439153196,77.95723821033201,0,0,77,17,166,0,29.615384615384617,6.538461538461538,63.84615384615385,0.0,77030.44355632007,77030.44355632007,0.0,0.001414614178849241,,,,,6,fixed-window,16,296.4693387431484,0.9120344833024391
