policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,variant,normalized_value
Priority-Aware,3607.574591128856,72969.55644367999,260,280.65214016799996,136511684238.74997,79932607445.38664,36.33135519603571,21.359685439153196,77.95723821033201,0,0,77.0,17.0,166.0,0.0,29.615384615384617,6.538461538461538,63.84615384615385,0.0,77030.44355632007,77030.44355632007,0.0,0.0019415374621390724,,,,,6,24,main,0.9120344833024391
Energy-WSRPT,3450.5182428618828,149852.43026117323,257,583.083386230246,136511684238.74997,40142368011.44429,68.0254372753084,1.1121057625823823,110.72537450054526,0,0,152.0,23.0,85.0,0.0,58.46153846153846,8.846153846153847,32.69230769230769,0.0,147.56973882662228,147.56973882662228,0.0,0.013346922171946902,,,,,6,24,main,0.8723289133072211
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,67.16644395212109,1.1445659766542198,75.21373487501121,0,0,166.0,0.0,94.0,0.0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.015565000425200336,,,,,6,24,main,1.0
MILP-Ref,3169.5512288579334,,260,,136511684238.74997,,,,,0,0,,,,,,,,,,,,,,,,,6,24,main,0.8012973659423371
All-Downlink,2565.0205224621127,0.0,254,0.0,139247165035.33093,133818130750.98091,0.0,34.17696786011753,78.97394509599184,0,0,0.0,0.0,260.0,0.0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00030615349085285113,,,,,7,24,main,0.6246863561089259
All-On-Board,2701.892088043181,149982.54397749322,157,955.3028278821224,139247165035.33093,0.0,100.0,1.2567783273065893,1238.8769180690326,0,103,157.0,0.0,0.0,103.0,60.38461538461539,0.0,0.0,39.61538461538461,17.456022506699696,17.456022506699696,0.0,0.00038999983539374976,,,,,7,24,main,0.6580201243220901
Fixed-Threshold,3210.4606177632318,103787.05425642672,258,402.27540409467724,139247165035.33093,46749516509.30801,65.06488601585453,8.835301087292965,72.80963503318573,0,0,105.0,100.0,55.0,0.0,40.38461538461539,38.46153846153846,21.153846153846153,0.0,46212.94574357334,46212.94574357334,0.0,0.0011438441176254016,,,,,7,24,main,0.7818771534882906
Deadline-Energy,3883.0840761585364,71262.57109365333,260,274.08681189866667,139247165035.33093,99881808965.40207,25.360032751264594,11.838968943251544,68.4461327724551,0,0,71.0,0.0,189.0,0.0,27.307692307692307,0.0,72.6923076923077,0.0,78737.42890634667,78737.42890634667,0.0,0.010289615154481279,,,,,7,24,main,0.9456882004482678
Priority-Aware,3909.780591382479,101200.58414975999,260,389.2330159606154,139247165035.33093,77464709916.8403,42.11194740046653,9.247300119530852,72.90775365767003,0,0,101.0,16.0,143.0,0.0,38.84615384615385,6.153846153846154,55.0,0.0,48799.41585024003,48799.41585024003,0.0,0.001519614082868569,,,,,7,24,main,0.9521898828597767
Energy-WSRPT,3507.6946827679367,149740.9884856531,254,589.5314507309178,139247165035.33093,44480995043.98906,66.76011330126654,1.000107804039059,66.51159414699696,0,0,155.0,26.0,79.0,0.0,59.61538461538461,10.0,30.384615384615383,0.0,259.0115143466953,259.0115143466953,0.0,0.013833845934221664,,,,,7,24,main,0.8542656834642628
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,64.60904455734288,1.0218073941260437,59.41933453479224,0,0,169.0,1.0,90.0,0.0,65.0,0.38461538461538464,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.015245382606875725,,,,,7,24,main,1.0
MILP-Ref,2932.3344737342545,,260,,139247165035.33093,,,,,0,0,,,,,,,,,,,,,,,,,7,24,main,0.7141421759586305
All-Downlink,2533.5936614346742,0.0,256,0.0,147675122448.8456,136992547483.91032,0.0,31.06743035179552,79.44232709372092,0,0,0.0,0.0,260.0,0.0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00044884677313698025,,,,,8,24,main,0.6601360598268278
All-On-Board,2392.2520581169592,149649.83337631993,150,997.6655558421329,147675122448.8456,0.0,100.0,1.279891391770161,1254.5592709639975,0,110,150.0,0.0,0.0,110.0,57.69230769230769,0.0,0.0,42.30769230769231,350.1666236799206,350.1666236799206,0.0,0.0003857700413881013,,,,,8,24,main,0.6233090458805867
Fixed-Threshold,3052.4337548465774,100434.51246607995,258,389.28105607007734,147675122448.8456,50189131471.694786,63.3636045219252,7.909545745180791,77.9508158178969,0,0,98.0,103.0,59.0,0.0,37.69230769230769,39.61538461538461,22.692307692307693,0.0,49565.487533920204,49565.487533920204,0.0,0.0011226926849653514,,,,,8,24,main,0.7953215318141431
Deadline-Energy,3807.586330320566,73051.95887727995,260,280.96907260492287,147675122448.8456,107986139264.03853,21.17371255051562,10.647973555536677,74.23923498141562,0,0,72.0,1.0,187.0,0.0,27.692307692307693,0.38461538461538464,71.92307692307692,0.0,76948.04112272005,76948.04112272005,0.0,0.011343076543058626,,,,,8,24,main,0.9920789887534683
Priority-Aware,3757.5334994027057,87253.41095210667,259,336.88575657184043,147675122448.8456,91277240214.14523,33.37065271753875,11.816140087959745,78.44504524348606,0,0,85.0,8.0,167.0,0.0,32.69230769230769,3.076923076923077,64.23076923076923,0.0,62746.589047893365,62746.589047893365,0.0,0.0017061528454248148,,,,,8,24,main,0.9790375610422131
Energy-WSRPT,3335.145916001523,149805.56215354672,256,585.1779771622919,147675122448.8456,43717117103.24272,68.08795959621288,1.079645548510545,78.66929020213107,0,0,150.0,27.0,83.0,0.0,57.69230769230769,10.384615384615385,31.923076923076923,0.0,194.43784645337144,194.43784645337144,0.0,0.01424615396759831,,,,,8,24,main,0.868983103900755
