policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,profile_label,profile_source,memory_gb,quant_used,normalized_value
Deadline-Energy,3783.232310190965,32033.555580415992,260,123.20598300159998,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,117966.44441958393,117966.44441958393,0.0,0.010079998397626556,,,,,2,Edge-NPU synthetic,scaled,12,INT4,0.8812465668255511
Priority-Aware,3597.372790500238,31858.400536943984,260,122.53230975747687,143551818802.25815,81765352376.60277,43.0412285550808,21.402373422387853,78.4072189003879,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,118141.59946305597,118141.59946305597,0.0,0.0015703847076600562,,,,,2,Edge-NPU synthetic,scaled,12,INT4,0.8379534116053179
Energy-WSRPT,4057.613444374115,99679.65550313602,260,383.383290396677,143551818802.25815,3982598197.03848,97.22567207419051,0.4468466733276235,1.0178418571871604,0,0,233,25,2,0,89.61538461538461,9.615384615384617,0.7692307692307693,0.0,50320.34449686397,50320.34449686397,0.0,0.012424999239066472,,,,,2,Edge-NPU synthetic,scaled,12,INT4,0.9451594890770522
Heuristic-TVD,4293.046296701071,109964.86172884799,260,422.9417758801846,143551818802.25815,0.0,100.0,0.4886997607088536,1.0382058329824209,0,0,260,0,0,0,100.0,0.0,0.0,0.0,40035.13827115201,40035.13827115201,0.0,0.013792306820575435,,,,,2,Edge-NPU synthetic,scaled,12,INT4,1.0
Deadline-Energy,3858.1612808637174,32263.88718383999,260,124.09187378399996,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,117736.11281615993,117736.11281615993,0.0,0.009698461844191816,,,,,3,Edge-NPU synthetic,scaled,12,INT4,0.8804090391954831
Priority-Aware,3791.5397542266123,34975.72583068798,260,134.522022425723,145714942829.99643,96411603040.62616,33.83547276060204,16.769847643845956,78.1803292091174,0,0,81,12,167,0,31.153846153846153,4.615384615384616,64.23076923076924,0.0,115024.27416931193,115024.27416931193,0.0,0.0013453860167199029,,,,,3,Edge-NPU synthetic,scaled,12,INT4,0.8652064102781198
Energy-WSRPT,4131.262685285419,99137.48779145598,260,381.29802996713835,145714942829.99643,4277843464.838718,97.06423831231254,0.49307219125803387,1.0648822036473506,0,0,234,25,1,0,90.0,9.615384615384617,0.38461538461538464,0.0,50862.51220854386,50862.51220854386,0.0,0.012147693241086718,,,,,3,Edge-NPU synthetic,scaled,12,INT4,0.94272912577725
Heuristic-TVD,4382.237243258317,109299.11150159998,260,420.38119808307687,145714942829.99643,0.0,100.0,0.5202034286900016,1.1176302745584203,0,0,260,0,0,0,100.0,0.0,0.0,0.0,40700.888498399916,40700.888498399916,0.0,0.013487306960786764,,,,,3,Edge-NPU synthetic,scaled,12,INT4,1.0
Deadline-Energy,3869.2673832056926,32729.56733863999,260,125.8829513024615,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,117270.43266135997,117270.43266135997,0.0,0.009765383639695266,,,,,4,Edge-NPU synthetic,scaled,12,INT4,0.880054691011507
Priority-Aware,3764.297038649579,35740.176109504,260,137.4622158057846,143751290598.0329,78843845988.82722,45.15259956218708,14.598307059213402,722.8285196627825,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,114259.823890496,114259.823890496,0.0,0.001332692493004008,,,,,4,Edge-NPU synthetic,scaled,12,INT4,0.8561794621904982
