policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,beta,lambda_energy,lambda_bandwidth,epsilon,is_default,normalized_value
Heuristic-TVD,3667.375282915465,149926.6248521066,257,583.3720811366015,138183152908.2682,42618433470.52747,69.15801052909873,1.0796455485105374,111.78914483510077,0,0,161,3,96,0,61.92307692307692,1.1538461538461537,36.92307692307692,0.0,73.37514789330737,73.37514789330737,0.0,0.012988847559497047,,,,,1,0.0,4.0,0.45,0.015,0,0.9282396185960506
Heuristic-TVD,3556.198643676822,149984.5463132799,253,592.824293728379,143551818802.25815,44988508988.71315,68.6604395791846,1.0025280093312177,754.0107986472566,0,0,160,2,98,0,61.53846153846154,0.7692307692307693,37.69230769230769,0.0,15.453686720025416,15.453686720025416,0.0,0.014165769635628048,,,,,2,0.0,4.0,0.45,0.015,0,0.927877039866277
Heuristic-TVD,3730.184193949891,149851.7774747199,255,587.654029312627,145714942829.99643,45179552908.621796,68.99456429713449,1.0796455485105374,77.65385075632592,0,0,163,7,90,0,62.69230769230769,2.6923076923076925,34.61538461538461,0.0,148.22252528001758,148.22252528001758,0.0,0.014783846003970562,,,,,3,0.0,4.0,0.45,0.015,0,0.935897313641287
Heuristic-TVD,3559.0262142559836,149874.0731180265,259,578.6643749730754,143751290598.0329,41698113629.908295,70.99287703335659,1.1445659766542424,726.9090733329451,0,0,158,5,97,0,60.76923076923077,1.9230769230769231,37.30769230769231,0.0,125.92688197337509,125.92688197337509,0.0,0.013974231282750575,,,,,4,0.0,4.0,0.45,0.015,0,0.9011824874401787
Heuristic-TVD,3534.6024642229036,149565.25354058665,259,577.4720213922265,145966253614.7567,50263179835.15361,65.56520525092647,1.1445659766542198,70.13461928755096,0,0,156,4,100,0,60.0,1.5384615384615385,38.46153846153846,0.0,434.7464594133436,434.7464594133436,0.0,0.013142307579983026,,,,,5,0.0,4.0,0.45,0.015,0,0.8949512373704562
Heuristic-TVD,3593.6909167875565,149939.50674314654,257,583.4222052262511,136511684238.74997,44255054295.400734,67.58148978808177,1.1894509169151812,110.72537450054526,0,0,156,8,96,0,60.0,3.076923076923077,36.92307692307692,0.0,60.49325685333315,60.49325685333315,0.0,0.013751538174871642,,,,,6,0.0,4.0,0.45,0.015,0,0.9085245379265782
Heuristic-TVD,3733.7066231473777,149671.20460021324,254,589.2567110244615,139247165035.33093,57109678569.38033,58.98682852545687,1.1894509169151812,69.26924140178392,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,328.7953997866998,328.7953997866998,0.0,0.016001923694812622,,,,,7,0.0,4.0,0.45,0.015,0,0.9093087422766027
Heuristic-TVD,3532.4213378187205,149921.4338705066,256,585.6306010566664,147675122448.8456,56302270410.25894,61.8742348226175,1.2567783273065893,78.71920664394437,0,0,152,2,106,0,58.46153846153846,0.7692307692307693,40.76923076923077,0.0,78.56612949325353,78.56612949325353,0.0,0.014698461857803453,,,,,8,0.0,4.0,0.45,0.015,0,0.9203838559792619
Heuristic-TVD,3626.152931524772,149857.55194085318,256,585.3810622689577,145047080871.27374,44484107127.14233,69.3312634353386,1.0796455485105754,79.09861167966864,0,0,163,7,90,0,62.69230769230769,2.6923076923076925,34.61538461538461,0.0,142.4480591466272,142.4480591466272,0.0,0.015265384997921782,,,,,9,0.0,4.0,0.45,0.015,0,0.9017103877939435
Heuristic-TVD,3454.686841950166,149849.85196176,254,589.9600470935433,141896346105.7374,44580691558.19289,68.582213156516,1.1894509169151812,736.9298172144859,0,0,152,3,105,0,58.46153846153846,1.1538461538461537,40.38461538461539,0.0,150.14803824000433,150.14803824000433,0.0,0.013304615948492518,,,,,0,0.0,4.0,0.9,0.015,0,0.8898116330067367
