policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,sweep_type,sweep_value,sweep_label,downlink_rate_mbps,visible_min,normalized_value
All-Downlink,280.7487281925039,0.0,169,0.0,139247165035.33093,41577215225.554405,70.14142785958688,942.5994662217811,1589.3057316545378,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003038463406622983,,,,,7,24,rate,5.0,5 Mbps,5.0,10.0,0.08083506570283844
All-On-Board,2701.892088043181,149982.54397749322,157,955.3028278821224,139247165035.33093,0.0,100.0,1.2567783273065893,1238.8769180690326,0,103,157,0,0,103,60.38461538461539,0.0,0.0,39.61538461538461,17.456022506699696,17.456022506699696,0.0,0.0003842300010057023,,,,,7,24,rate,5.0,5 Mbps,5.0,10.0,0.7779469772315123
Fixed-Threshold,2870.4261695039118,103787.05425642672,251,413.4942400654451,139247165035.33093,37456993800.3441,73.10035447339973,36.38187456666548,901.6275020733619,0,0,105,100,55,0,40.38461538461539,38.46153846153846,21.153846153846153,0.0,46212.94574357334,46212.94574357334,0.0,0.0012850000460345584,,,,,7,24,rate,5.0,5 Mbps,5.0,10.0,0.8264724456664194
Deadline-Energy,3473.1057091556954,149999.7929953599,249,602.4088072102807,139247165035.33093,41577215225.55455,70.14142785958677,1.2567783273066502,789.7104051395742,0,0,153,19,88,0,58.84615384615385,7.3076923076923075,33.84615384615385,0.0,0.20700464007515507,0.20700464007515507,0.0,0.010410769923160283,,,,,7,24,rate,5.0,5 Mbps,5.0,10.0,1.0
Priority-Aware,2602.7170897004335,101200.58414975999,259,390.73584613806946,139247165035.33093,40681014805.86551,70.78503192826685,155.7335515904544,1213.756301044025,0,0,101,16,143,0,38.84615384615385,6.153846153846154,55.0,0.0,48799.41585024003,48799.41585024003,0.0,0.0013973072502547158,,,,,7,24,rate,5.0,5 Mbps,5.0,10.0,0.7493918433980371
Heuristic-TVD,3326.8172027694427,149713.9736530665,237,631.7045301817152,139247165035.33093,20495137817.782642,85.2814685221186,1.1445659766542424,912.5113200007286,0,0,166,7,87,0,63.84615384615385,2.6923076923076925,33.46153846153846,0.0,286.0263469333779,286.0263469333779,0.0,0.014573845972056286,,,,,7,24,rate,5.0,5 Mbps,5.0,10.0,0.957879627446809
All-Downlink,174.68986079433762,0.0,180,0.0,147675122448.8456,41315676177.27186,72.0225888476351,1039.0450403934938,1683.4431976333142,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00029384637645517406,,,,,8,24,rate,5.0,5 Mbps,5.0,10.0,0.054504728193676834
All-On-Board,2392.2520581169592,149649.83337631993,150,997.6655558421329,147675122448.8456,0.0,100.0,1.279891391770161,1254.5592709639975,0,110,150,0,0,110,57.69230769230769,0.0,0.0,42.30769230769231,350.1666236799206,350.1666236799206,0.0,0.0004238460230855988,,,,,8,24,rate,5.0,5 Mbps,5.0,10.0,0.7464030688760802
Fixed-Threshold,2451.5449432398736,100434.51246607995,244,411.6168543691801,147675122448.8456,41008672089.97218,72.23048038834197,237.16725844235563,994.1941701344261,0,0,98,103,59,0,37.69230769230769,39.61538461538461,22.692307692307693,0.0,49565.487533920204,49565.487533920204,0.0,0.0011842306076477354,,,,,8,24,rate,5.0,5 Mbps,5.0,10.0,0.7649029553191068
Deadline-Energy,3205.040490681754,149999.48109802636,251,597.6074944144476,147675122448.8456,41315676177.27223,72.02258884763484,1.2567783273065893,800.2005368329122,0,0,149,32,79,0,57.30769230769231,12.307692307692308,30.384615384615383,0.0,0.5189019732326585,0.5189019732326585,0.0,0.010405385378712358,,,,,8,24,rate,5.0,5 Mbps,5.0,10.0,1.0
Priority-Aware,1999.343931387277,87253.41095210667,257,339.50743561131003,147675122448.8456,40780529581.517624,72.3849698545915,537.6022393694095,1419.357191424142,0,0,85,8,167,0,32.69230769230769,3.076923076923077,64.23076923076923,0.0,62746.589047893365,62746.589047893365,0.0,0.001812690998821591,,,,,8,24,rate,5.0,5 Mbps,5.0,10.0,0.6238123784083585
Heuristic-TVD,2984.649849936838,149972.91995914656,238,630.138319156078,147675122448.8456,23344329722.27863,84.19210403542068,1.2567783273065893,995.2131195509102,0,0,155,8,97,0,59.61538461538461,3.076923076923077,37.30769230769231,0.0,27.08004085326297,27.08004085326297,0.0,0.014397307397582782,,,,,8,24,rate,5.0,5 Mbps,5.0,10.0,0.931236238236093
All-Downlink,222.18800938354667,0.0,186,0.0,145047080871.27374,41249184067.78057,71.5615207007245,1036.7372249705095,1681.6471027598297,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00030115311696695595,,,,,9,24,rate,5.0,5 Mbps,5.0,10.0,0.06290692448338156
All-On-Board,2638.3301762790907,149873.5611089066,158,948.5668424614342,145047080871.27374,0.0,100.0,1.1894509169151812,1147.0703465055208,0,102,158,0,0,102,60.76923076923077,0.0,0.0,39.23076923076923,126.43889109329524,126.43889109329524,0.0,0.00037999998312443495,,,,,9,24,rate,5.0,5 Mbps,5.0,10.0,0.7469765700763588
Fixed-Threshold,2967.5499714885373,102460.60073781348,254,403.3881918811554,145047080871.27374,39712762677.592606,72.62077772331257,83.35235702535147,869.6197100598528,0,0,116,86,58,0,44.61538461538461,33.07692307692308,22.307692307692307,0.0,47539.39926218667,47539.39926218667,0.0,0.0011546145497749632,,,,,9,24,rate,5.0,5 Mbps,5.0,10.0,0.8401868421028951
Deadline-Energy,3532.0119558895813,149994.26537247992,254,590.5286038286611,145047080871.27374,41249184067.78055,71.56152070072453,1.167008446784712,729.1602991046296,0,0,164,18,78,0,63.07692307692308,6.923076923076923,30.0,0.0,5.734627520059206,5.734627520059206,0.0,0.011326154232777368,,,,,9,24,rate,5.0,5 Mbps,5.0,10.0,1.0
Priority-Aware,2271.959787268225,80627.39004437336,259,311.3026642639898,145047080871.27374,40933757942.78359,71.77898534951458,454.8215920365979,1414.7681281758723,0,0,88,6,166,0,33.84615384615385,2.3076923076923075,63.84615384615385,0.0,69372.60995562666,69372.60995562666,0.0,0.0014926921441936148,,,,,9,24,rate,5.0,5 Mbps,5.0,10.0,0.6432480454885674
Heuristic-TVD,3330.752908701014,149944.96694021314,239,627.3847989130257,145047080871.27374,19439835242.37344,86.59756878552703,1.1445659766542273,938.7588775511223,0,0,169,5,86,0,65.0,1.9230769230769231,33.07692307692308,0.0,55.03305978661837,55.03305978661837,0.0,0.014970000036275731,,,,,9,24,rate,5.0,5 Mbps,5.0,10.0,0.9430185826939316
All-Downlink,645.4294885528017,0.0,208,0.0,141896346105.7374,81950565605.00673,42.246176272968064,389.54607900540634,1138.478015298686,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002888463383827072,,,,,0,24,rate,10.0,10 Mbps,10.0,10.0,0.18028296951001074
All-On-Board,2495.4586920317124,149948.95533034668,152,986.5062850680703,141896346105.7374,0.0,100.0,1.2723023214839486,1149.2038027363044,0,108,152,0,0,108,58.46153846153846,0.0,0.0,41.53846153846154,51.044669653337905,51.044669653337905,0.0,0.00036115357383655815,,,,,0,24,rate,10.0,10 Mbps,10.0,10.0,0.6970377264568377
Fixed-Threshold,3044.415404410116,94471.08069536008,257,367.5917536784439,141896346105.7374,49934240241.08709,64.80935442560487,11.278866961884038,77.37631494362536,0,0,102,94,64,0,39.23076923076923,36.15384615384615,24.615384615384617,0.0,55528.919304639734,55528.919304639734,0.0,0.0010823067546320648,,,,,0,24,rate,10.0,10 Mbps,10.0,10.0,0.8503736802601556
