policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,normalized_value,robustness_variant
Energy-WSRPT,3471.765746386301,149994.31164517338,259,579.1286163906308,145966253614.7567,45220625639.26772,69.01980799026546,0.9832486245364028,70.00163995268541,0,0,157,15,88,0,60.38461538461539,5.769230769230769,33.84615384615385,0.0,5.688354826696696,5.688354826696696,0.0,0.0109088454897014,,,,,5,24,260,0,fixed-window,10,283,0.881785785572541,no-pre
ActiveInf-inspired,3458.499318970162,149928.29939221338,259,578.8737428270787,145966253614.7567,52843940095.84344,63.79715256972172,1.1894509169151757,70.00163995268541,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,71.70060778667579,71.70060778667579,0.0,0.0259080771894122,,,,,5,24,260,0,fixed-window,10,283,0.8784162762290441,no-pre
LEO-DRL-inspired,3582.0166113913906,149983.11302666672,259,579.0853784813387,145966253614.7567,51948638060.81276,64.41051491400276,1.0987846064879705,70.14701649298937,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,16.88697333332243,16.88697333332243,0.0,0.053831923175424,,,,,5,24,260,0,fixed-window,10,283,0.9097881488396355,no-pre
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.0101430778158828,,,,,5,24,260,0,fixed-window,10,283,1.0,no-pre
Deadline-Energy,3774.454989403311,59623.26823472,260,229.3202624412308,136511684238.74995,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.3846153846153846,74.23076923076923,0.0,90376.73176528004,90376.73176528004,0.0,0.0097065384929569,,,,,6,24,260,0,fixed-window,10,283,0.954223681049816,no-pre
Energy-WSRPT,3450.5182428618828,149852.43026117323,257,583.083386230246,136511684238.74995,40142368011.44429,70.59418888918114,1.1121057625823825,110.72537450054526,0,0,152,23,85,0,58.46153846153846,8.846153846153847,32.69230769230769,0.0,147.56973882662228,147.56973882662228,0.0,0.011908461097986,,,,,6,24,260,0,fixed-window,10,283,0.872328913307221,no-pre
ActiveInf-inspired,3559.4555089295304,149652.1489362133,257,582.304081463865,136511684238.74995,50179907496.561615,63.241309506664464,1.2567783273065891,110.72537450054526,0,0,150,0,110,0,57.69230769230769,0.0,42.30769230769231,0.0,347.8510637866695,347.8510637866695,0.0,0.0258003846213866,,,,,6,24,260,0,fixed-window,10,283,0.8998694507682352,no-pre
LEO-DRL-inspired,3647.3071349545503,149829.65900351992,257,582.9947821148635,136511684238.74995,48736741673.36094,64.29848335317321,1.1894509169151812,110.72537450054526,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,170.3409964800054,170.3409964800054,0.0,0.0513676918881873,,,,,6,24,260,0,fixed-window,10,283,0.9220793068155738,no-pre
Heuristic-TVD,3955.524332880461,149715.49098826657,257,582.550548592477,136511684238.74995,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.010341154568148,,,,,6,24,260,0,fixed-window,10,283,1.0,no-pre
Deadline-Energy,3883.084076158536,71262.57109365333,260,274.08681189866667,139247165035.33093,99881808965.40208,28.27013107228485,11.838968943251544,68.4461327724551,0,0,71,0,189,0,27.307692307692307,0.0,72.6923076923077,0.0,78737.42890634667,78737.42890634667,0.0,0.0094723082908715,,,,,7,24,260,0,fixed-window,10,283,0.9443534133043082,no-pre
