policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,profile_label,energy_scale,latency_scale,normalized_value
All-On-Board,2718.6959638506332,149948.73988490662,161,931.358632825507,138183152908.2682,0.0,100.0,1.1894509169151812,1209.5554866509997,0,99,161,0,0,99,61.92307692307692,0.0,0.0,38.07692307692308,51.260115093307604,51.260115093307604,0.0,0.00036230810040321486,,,,,1,1.0x 4090,1.0,1.0,0.6881219155071413
Fixed-Threshold,3067.7537128503677,98632.12012848012,259,380.8189966350584,138183152908.2682,43894861169.01148,68.23428888024378,4.033877747579391,79.0500106006302,0,0,106,97,57,0,40.76923076923077,37.30769230769231,21.923076923076923,0.0,51367.879871519785,51367.879871519785,0.0,0.0010923090695331877,,,,,1,1.0x 4090,1.0,1.0,0.7764709953814897
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.010638460942293303,,,,,1,1.0x 4090,1.0,1.0,0.9762447363577478
Priority-Aware,3730.4177721467545,81370.69273706671,260,312.96420283487197,138183152908.2682,83081342987.12921,39.87592464163695,12.934506397489773,79.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.0014323089719535066,,,,,1,1.0x 4090,1.0,1.0,0.9441961356266385
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.0130996158427129,,,,,1,1.0x 4090,1.0,1.0,1.0
All-Downlink,2556.686277673104,0.0,253,0.0,143551818802.25815,133655118349.42921,6.894165838791344,37.746426882901076,754.0107986472566,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002734608222873738,,,,,2,1.0x 4090,1.0,1.0,0.6670860468979014
All-On-Board,2606.552789094082,149988.82686965325,159,943.3259551550518,143551818802.25815,0.0,100.0,1.1445659766542349,1232.274889842713,0,101,159,0,0,101,61.15384615384615,0.0,0.0,38.84615384615385,11.173130346692119,11.173130346692119,0.0,0.0003384603097891578,,,,,2,1.0x 4090,1.0,1.0,0.6800971285730003
Fixed-Threshold,3079.685258293876,94538.50614015998,258,366.4283183727131,143551818802.25815,43453490187.54808,69.72975295603531,7.619225395042789,77.43346582313498,0,0,103,90,67,0,39.61538461538461,34.61538461538461,25.76923076923077,0.0,55461.493859840106,55461.493859840106,0.0,0.0010073084223012512,,,,,2,1.0x 4090,1.0,1.0,0.8035460128939919
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.009566537762741344,,,,,2,1.0x 4090,1.0,1.0,0.9842870551834726
Priority-Aware,3584.112271606004,70468.98847098667,260,271.03457104225646,143551818802.25815,81765352376.60277,43.0412285550808,21.402373422387853,78.4072189003879,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,79531.01152901343,79531.01152901343,0.0,0.0013388472815187504,,,,,2,1.0x 4090,1.0,1.0,0.9351602141346522
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.013458846436920933,,,,,2,1.0x 4090,1.0,1.0,1.0
