policy,total_value,compute_energy_j,comm_energy_j,energy_j,useful_tasks,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,mean_decision_ms,seed,contact_model,window_count,capacity_gbit,training_seed_count,training_q_states,normalized_value
Deadline-Energy,2497.992007238456,48654.19581466665,101335.73963847788,149989.9354531445,180,147675122448.8456,75847693278.78864,48.63881470282029,62.664191702748575,1109.3779555004237,0,85,47,1,132,80,18.07692307692308,0.3846153846153846,50.76923076923077,30.76923076923077,10.064546855405696,0.0122411539240811,8,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9674120025686164
Energy-WSRPT,2538.226808555732,146476.16152335994,3502.0813145951383,149978.24283795507,163,147675122448.8456,2629259735.2951646,98.2195648856117,1.1894509169151812,1172.992113711341,0,99,150,9,4,97,57.69230769230769,3.4615384615384617,1.5384615384615383,37.30769230769231,21.757162044845018,0.0182261541620111,8,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9829939698457364
ActiveInf-inspired,2421.9089626770706,149667.69467631992,288.10325876231565,149955.79793508223,152,147675122448.8456,217574109.8708053,99.85266705301282,1.2723023214839486,1249.7025232592628,0,0,150,1,1,108,57.69230769230769,0.3846153846153846,0.3846153846153846,41.53846153846154,44.20206491760493,0.0328903845421826,8,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.937946876064062
LEO-DRL-inspired,2499.4840932388133,139383.48513013328,10602.024538122814,149985.5096682561,159,147675122448.8456,7909408719.576986,94.64404796934107,1.3221965301696172,1221.6942498397048,0,0,141,2,16,101,54.23076923076923,0.7692307692307693,6.153846153846154,38.84615384615385,14.49033174375937,0.0468915379874838,8,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.967989851457415
Heuristic-TVD,2582.1387377931346,147429.98661135993,2519.497257191168,149949.4838685511,167,147675122448.8456,1901517687.6638925,98.71236423838242,1.2567783273065891,1155.5340022937244,0,0,152,11,4,93,58.46153846153846,4.230769230769231,1.5384615384615383,35.76923076923077,50.51613144876072,0.0173934618942439,8,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,1.0
Deadline-Energy,2804.732430849176,40646.94852304,109324.95492494256,149971.90344798256,194,145047080871.27374,81739949295.46425,43.64591910125599,45.1819790609193,1010.5653754618374,0,89,44,3,147,66,16.923076923076923,1.1538461538461535,56.53846153846154,25.384615384615383,28.09655201752133,0.0134657690068706,9,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9472270005917168
Energy-WSRPT,2702.788546402769,148617.06601493328,1296.00654631921,149913.07256125248,166,145047080871.27374,973353683.704618,99.32893948788364,1.1445659766542424,1118.767291680439,0,109,159,6,1,94,61.15384615384615,2.3076923076923075,0.3846153846153846,36.15384615384615,86.92743874742484,0.0159703840976222,9,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.91279804800047
ActiveInf-inspired,2644.383890615218,149891.4224089066,94.59806305549678,149986.02047196208,159,145047080871.27374,71383551.75835101,99.9507859438952,1.1894509169151812,1144.9359079530388,0,0,158,1,0,101,60.76923076923077,0.3846153846153846,0.0,38.84615384615385,13.97952803779846,0.0301742321775796,9,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.8930733618543896
LEO-DRL-inspired,2822.0099890720744,133729.0441892266,16238.611189064695,149967.6553782913,171,145047080871.27374,12210279877.35753,91.58185066254872,1.2723023214839486,1083.1144748929714,0,0,144,2,25,89,55.38461538461539,0.7692307692307693,9.615384615384617,34.23076923076923,32.34462170863964,0.0505203840125782,9,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.953062056183123
Heuristic-TVD,2960.9929078215746,146948.68903546644,3030.22808089776,149978.9171163642,185,145047080871.27374,2286106130.209645,98.42388683972308,1.1445659766542424,1033.785420856023,0,0,165,17,3,75,63.46153846153846,6.538461538461538,1.1538461538461535,28.846153846153847,21.082883635534262,0.0158442307460623,9,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,1.0
